sec,nanosec,parent_frame,child_frame,x,y,z,qx,qy,qz,qw
16,761000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,795000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,829000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,829000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,863000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,897000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,897000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,897000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,965000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,999000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,999000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
16,999000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,33000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,67000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,101000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,135000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,169000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,203000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,203000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,237000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,271000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,305000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,305000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,339000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,373000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,407000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,407000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,441000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,475000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,509000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,509000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,543000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
17,577000000,ground_truth,base_link_truth,0.0,0.0,0.49999999999999994,0.0,0.0,0.0,1.0
